"wikidata_uri","label","birth_year","gender","label","geo_coordinates","wikidata_uri"
http://www.wikidata.org/entity/Q10370239,Sergio Miceli,1945,male,Rio de Janeiro,POINT(-43.205555 -22.911111),http://www.wikidata.org/entity/Q8678
http://www.wikidata.org/entity/Q1037213,Carl Buttenstedt,1845,male,Volkstedt,POINT(11.555604 51.560105),http://www.wikidata.org/entity/Q2532251
http://www.wikidata.org/entity/Q1037247,Róza Hodosán,1954,female,Darvas,POINT(21.338350 47.102981),http://www.wikidata.org/entity/Q902272
http://www.wikidata.org/entity/Q1037368,Carl Cleveland Taylor,1884,male,Harlan,POINT(-95.321945 41.654722),http://www.wikidata.org/entity/Q1901253
http://www.wikidata.org/entity/Q10374688,Sueli Carneiro,1950,female,São Paulo,POINT(-46.633947 -23.550394),http://www.wikidata.org/entity/Q174
http://www.wikidata.org/entity/Q103769532,Holger Marcks,1981,male,Viernheim,POINT(8.579236 49.537986),http://www.wikidata.org/entity/Q16055
http://www.wikidata.org/entity/Q103847114,Monika Chabior,1980,female,Gdynia,POINT(18.540000 54.517500),http://www.wikidata.org/entity/Q385
http://www.wikidata.org/entity/Q10385450,Tuna Dwek,1957,female,São Paulo,POINT(-46.633947 -23.550394),http://www.wikidata.org/entity/Q174
http://www.wikidata.org/entity/Q10390357,Víctor Kajibanga,1963,male,Lunda Sul Province,POINT(20.816667 -10.316667),http://www.wikidata.org/entity/Q219648
http://www.wikidata.org/entity/Q103916589,Mariangela Roselli,1964,female,Bari,POINT(16.866667 41.125278),http://www.wikidata.org/entity/Q3519
http://www.wikidata.org/entity/Q10391661,Violeta Arraes,1926,female,Araripe,POINT(-40.045833 -7.212778),http://www.wikidata.org/entity/Q2021237
http://www.wikidata.org/entity/Q10391749,Virgínia Leone Bicudo,1910,female,São Paulo,POINT(-46.633947 -23.550394),http://www.wikidata.org/entity/Q174
http://www.wikidata.org/entity/Q103921809,Martin Fafejta,1968,male,Chrudim,POINT(15.795636 49.951136),http://www.wikidata.org/entity/Q986070
http://www.wikidata.org/entity/Q10393022,Walnice Nogueira Galvão,1937,female,São Paulo,POINT(-46.633947 -23.550394),http://www.wikidata.org/entity/Q174
http://www.wikidata.org/entity/Q1039705,Carl Mayer,1902,male,Pforzheim,POINT(8.702953 48.890885),http://www.wikidata.org/entity/Q3046
http://www.wikidata.org/entity/Q1039736,Carl Mennicke,1887,male,Elberfeld,POINT(7.149167 51.257222),http://www.wikidata.org/entity/Q702259
http://www.wikidata.org/entity/Q104012554,Hélène Antonopoulo,1891,female,Trieste,POINT(13.770278 45.650278),http://www.wikidata.org/entity/Q546
http://www.wikidata.org/entity/Q104012899,Takashi Kashima,1975,male,Tokyo,POINT(139.691667 35.689444),http://www.wikidata.org/entity/Q1490
http://www.wikidata.org/entity/Q104013,Dirk Helbing,1965,male,Aalen,POINT(10.093611 48.837222),http://www.wikidata.org/entity/Q3951
http://www.wikidata.org/entity/Q104042501,Narda Henríquez,1944,female,Lima,POINT(-77.037500 -12.060000),http://www.wikidata.org/entity/Q2868
http://www.wikidata.org/entity/Q104052848,Loredana Sciolla,1947,female,Turin,POINT(7.676111 45.079167),http://www.wikidata.org/entity/Q495
http://www.wikidata.org/entity/Q104053997,Mūsá Abū Zayd,1962,male,Jordan,POINT(36.500000 31.200000),http://www.wikidata.org/entity/Q810
http://www.wikidata.org/entity/Q104056585,Fatma Müge Göçek,1950,female,Istanbul,POINT(28.960278 41.010000),http://www.wikidata.org/entity/Q406
http://www.wikidata.org/entity/Q1040900,Carl Vogl,1866,male,Bechyně,POINT(14.468125 49.295309),http://www.wikidata.org/entity/Q20492
http://www.wikidata.org/entity/Q104153212,Michał Jan Lutostański,1985,male,Warsaw,POINT(21.011111 52.230000),http://www.wikidata.org/entity/Q270
http://www.wikidata.org/entity/Q104161626,Alberto Cevolini,1974,male,Milan,POINT(9.190000 45.466944),http://www.wikidata.org/entity/Q490
http://www.wikidata.org/entity/Q104184443,Fanny Tabak,1924,female,Rio de Janeiro,POINT(-43.205555 -22.911111),http://www.wikidata.org/entity/Q8678
http://www.wikidata.org/entity/Q104193124,João Batista de Castro Rebelo Jr.,1853,male,Salvador,POINT(-38.492778 -12.983056),http://www.wikidata.org/entity/Q36947
http://www.wikidata.org/entity/Q104198645,Zdeněk Suda,1920,male,Pelhřimov,POINT(15.223389 49.431397),http://www.wikidata.org/entity/Q1000073
http://www.wikidata.org/entity/Q104214888,Regine Azria,1948,female,"14th arrondissement of Paris",POINT(2.326889 48.833022),http://www.wikidata.org/entity/Q187153
http://www.wikidata.org/entity/Q104215560,Margarete Freudenthal-Sallis,1894,female,Speyer,POINT(8.433615 49.316555),http://www.wikidata.org/entity/Q6829
http://www.wikidata.org/entity/Q104233321,Uta Meier-Gräwe,1952,female,Erfurt,POINT(11.028889 50.978056),http://www.wikidata.org/entity/Q1729
